dataset,task,model,fold_index,score
fifa,regression,XGBoost,4,0.6612
fifa,regression,MLP,0,0.6253
fifa,regression,MLP,1,0.6649
fifa,regression,MLP,2,0.6743
fifa,regression,MLP,3,0.6343
fifa,regression,MLP,4,0.641
Brazilian_houses,regression,RandomForest,0,0.9789
Brazilian_houses,regression,RandomForest,1,0.9963
Brazilian_houses,regression,RandomForest,2,0.9671
Brazilian_houses,regression,RandomForest,3,0.9919
Brazilian_houses,regression,RandomForest,4,0.993
Brazilian_houses,regression,GBT,0,0.9889
Brazilian_houses,regression,GBT,1,0.9993
Brazilian_houses,regression,GBT,2,0.9852
Brazilian_houses,regression,GBT,3,0.9977
Brazilian_houses,regression,GBT,4,0.9962
Brazilian_houses,regression,XGBoost,0,0.9895
Brazilian_houses,regression,XGBoost,1,0.9955
Brazilian_houses,regression,XGBoost,2,0.9821
Brazilian_houses,regression,XGBoost,3,0.9945
Brazilian_houses,regression,XGBoost,4,0.991
Brazilian_houses,regression,MLP,0,0.9924
Brazilian_houses,regression,MLP,1,0.9934
Brazilian_houses,regression,MLP,2,0.9857
Brazilian_houses,regression,MLP,3,0.9912
Brazilian_houses,regression,MLP,4,0.9867
